Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
Industry,https://www.crunchbase.com/organization/industry,"Hospitality, Internet, Professional Networking, Recruiting, SaaS, Service Industry","San Diego, California, United States",Industry is a professional network and hiring solution for the service and hospitality industry.,40
iZettle,https://www.crunchbase.com/organization/izettle,"Financial Services, FinTech, Mobile Payments, Point of Sale, Software","Stockholm, Stockholms Lan, Sweden","iZettle, a mobile payments company, offers small businesses with portable point-of-sale solutions and free sales overview tools.",63
IHS Markit,https://www.crunchbase.com/organization/ihs-markit,"Analytics, Big Data, Consulting, Information Services","London, England, United Kingdom",IHS provides information and analysis to support the decision-making process of businesses and governments in industries.,81
Influential,https://www.crunchbase.com/organization/influential,"Advertising, Artificial Intelligence, Content, Information Technology, Marketing","Las Vegas, Nevada, United States",Influential is an A.I. influencer technology and the only developer partner of IBM Watson for influencer marketing and technology.,91
Instacart,https://www.crunchbase.com/organization/instacart,"Delivery, E-Commerce, Grocery, Same Day Delivery","San Francisco, California, United States",Instacart is a delivery company delivering groceries and home essentials from a variety of local stores.,101
Instagram,https://www.crunchbase.com/organization/instagram,"Mobile, Photo Sharing, Photography, Social Media","Menlo Park, California, United States","Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks.",136
iQiyi,https://www.crunchbase.com/organization/iqiyi,"Content, Photography, TV","China, Asia","iQiyi is a Chinese ad-supported television and movie portal providing fully-licensed, high-definition media content.",146
Invesco,https://www.crunchbase.com/organization/invesco-perpetual,"Finance, Financial Services","Henley On Thames, Oxfordshire, United Kingdom","Invesco is a leading independent global investment manager, dedicated to helping investors worldwide achieve their financial objectives.",215
Impossible Foods,https://www.crunchbase.com/organization/impossible-foods,"Food and Beverage, Food Processing, Nutrition","Redwood City, California, United States",Impossible Foods develops a new generation of meats and cheeses made entirely from plants.,236
Integral Ad Science,https://www.crunchbase.com/organization/integralads,"Advertising, Analytics, Big Data, Digital Media, Internet","New York, New York, United States",IAS is a global technology and data company that empowers the advertising industry to effectively influence consumers everywhere.,277
Indigo,https://www.crunchbase.com/organization/indigoag,"Agriculture, Farming, GreenTech","Cambridge, Massachusetts, United States",Indigo harnesses nature to help farmers sustainably feed the planet.,286
InSilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,"Biotechnology, Genetics, Pharmaceutical","Baltimore, Maryland, United States",InSilico Medicine is dedicated to finding novel solutions for cancer and age-related diseases using advances in genomics and big data.,319
Integrate,https://www.crunchbase.com/organization/integrate,"Advertising, Marketing, Software","Phoenix, Arizona, United States",Integrate’s demand orchestration software enables marketers to automate top-of-funnel demand marketing to scale pipeline and revenue.,337
IFTTT,https://www.crunchbase.com/organization/if-this-then-that,"Information Services, Information Technology, Internet","San Francisco, California, United States",IFTTT empowers people to do more with the services they love.,345
IntSights,https://www.crunchbase.com/organization/intsights,"Cyber Security, Enterprise Software, Information Technology","Herzliya, Tel Aviv, Israel",IntSights is an intelligence driven security provider.,354
Immuta,https://www.crunchbase.com/organization/immuta,"Analytics, Artificial Intelligence, Big Data, Machine Learning, Privacy","College Park, Maryland, United States",Immuta is a data management platform for data science.,388
Infibeam,https://www.crunchbase.com/organization/infibeam,"Automotive, E-Commerce, Electronics, Mobile","Ahmedabad, Gujarat, India","Infibeam is an online destination and community that focuses on selling new and used automobiles, mobile devices, books and cameras.",393
iBeat,https://www.crunchbase.com/organization/ibeat,"Consumer Electronics, Fitness, Health Care, Wellness","San Francisco, California, United States",iBeat is a breakthrough smartwatch that continually monitors users’ 24-7 heart activity and can get them immediate help in any emergency.,435
Infor,https://www.crunchbase.com/organization/infor,"Enterprise Software, Information Technology, Software","New York, New York, United States","Infor offers enterprise software for CRM, ERP, HRM, financial management, performance management, and supply chain management.",448
"InvestCloud, Inc.",https://www.crunchbase.com/organization/investcloud,"Cloud Management, Outsourcing, Software","West Hollywood, California, United States","First-class, digital solutions, pre-integrated in the cloud. Modular platform. Beautifully designed client experiences.",486
Iora Health,https://www.crunchbase.com/organization/iora-health,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States",Iora Health is a private healthcare company help patients manage their health and navigate the healthcare system.,506
